Year,Quarter,MeasurementVar,MeasurementLevel,MeasurementType,Geography,HouseholdType,Sex,Age,CharacteristicVar,Characteristic,Estimate,StandardError,UnweightedCount
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,incivgrp,High,49.74789224,5.490498976,158
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,incivgrp,Low,50.26422834,1.754700506,1500
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Cohabiting,43.97879334,4.769906538,174
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Divorced/Legally dissolved partnership,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Living as a couple,49.09123437,4.206606637,238
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Married/civil partnered,59.84501071,8.589359063,64
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Not living as a couple,50.41593131,1.791799407,1415
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Separated,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Single,50.49450325,1.796784873,1409
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,livharm1a,Widowed,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,nsethgrp,Asian/Asian British,54.96939993,3.995275952,290
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,nsethgrp,Black/African/Caribbean/Black British,40.53314379,5.720534976,128
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,nsethgrp,Mixed/multiple ethnic groups,43.93596618,8.315260824,62
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,nsethgrp,Other ethnic group,64.36276528,8.249748757,58
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,nsethgrp,White,49.81870662,1.998642479,1120
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Constrained city dwellers,51.39505731,5.914832708,147
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Cosmopolitans,44.62556193,6.331102215,158
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Ethnicity central,44.326922,4.929408018,189
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Hard-pressed living,50.45435797,3.916331713,300
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Multicultural metropolitans,50.31422346,3.545903358,345
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Rural residents,50.71624338,5.900904224,106
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Suburbanites,50.20023589,4.233059946,196
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,oa_sup11,Urbanites,55.73648349,4.096184385,221
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,pub3,Less than once a week,44.50520363,2.859951485,508
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,pub3,None,53.69021509,2.325202644,857
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,pub3,Once a week or more often,50.39773599,3.57010859,295
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,r10sec4a,Full-time students,54.75870833,2.569824352,624
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,r10sec4a,Intermediate occs,41.48911353,4.312111932,203
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,r10sec4a,Managerial and professional occs,41.86558232,4.036510732,239
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,r10sec4a,Never worked and long term unemployed,48.88302899,6.134987609,120
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,r10sec4a,Not classified,39.72630719,16.40088193,13
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,r10sec4a,Routine and manual occs,50.94538341,3.024380103,463
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Economically inactive,57.31460507,2.836954281,551
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Economically inactive: long-term/temp sick/ill,34.85315289,10.86235808,39
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Economically inactive: looking after family/home,61.07244967,9.40436057,58
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Economically inactive: other,48.02743409,10.29954258,46
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Economically inactive: retired,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Economically inactive: student,58.95249625,3.192989716,407
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Employed,47.11503328,1.950848551,992
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,remploy2a,Unemployed,44.23164111,6.01743536,115
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,rural3,Rural,52.22184837,4.230022913,196
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,rural3,Urban,49.87582398,1.811893279,1466
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,sex,Female,48.45694173,2.25563252,855
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,sex,Male,51.87831959,2.260290735,807
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,struct4,Children,52.43018802,3.14695897,381
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,struct4,Lone parent,42.6301773,7.694842621,57
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,struct4,No children,49.51948371,1.929160465,1224
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tenharm,Owners,51.31644659,2.817960881,471
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tenharm,Private rented sector,50.44528297,2.499150464,812
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tenharm,Renters,49.77477322,2.119397097,1143
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tenharm,Social rented sector,47.77102116,3.651523331,331
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,Total,Total,50.19512252,1.673337683,1662
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,"10,400 -20,799",51.67608453,4.909542879,192
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,"20,800 -31,199",50.27197526,4.526245728,218
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,"31,200-41,599",52.90006169,5.26665739,135
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,"41,600 -51,999",47.58002757,5.46721558,125
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,"52,000 or more",50.54507425,3.407900146,318
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,No income stated or not enough information provided,64.45725457,10.98048228,27
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,tothhin4,"Up to 10,399",44.0134865,6.189869171,117
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,weekday2,3-7 hours,54.62516096,2.711187801,574
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,weekday2,7 plus hrs,47.10356043,2.420725652,748
2024,4,catt2,Person,Perception,England and Wales, ,All people,16-24,weekday2,Less than 3 hrs,50.15389194,3.666810028,335
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,accharm3,Detached house,47.09859809,0.843018183,6737
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,accharm3,Flats/maisonettes,50.41235417,1.173478233,5398
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,accharm3,House,47.38384801,0.513082574,25056
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,accharm3,Other accommodation,70.19565546,7.146937786,55
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,accharm3,Semi-detached house,47.36477999,0.794870925,9053
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,accharm3,Terraced house,47.64083443,0.825270724,9266
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,16-24,50.19512252,1.673337683,1662
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,25-34,49.22194096,1.038725494,4330
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,35-44,49.69519771,0.91344613,5215
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,45-54,45.02172044,1.012921625,4485
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,55-64,44.26192594,0.869131727,5367
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,65-74,47.7934761,0.895802842,4965
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,agegrp7,75+,49.87326475,0.935646472,4578
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,clubno,1-3 times,45.61285644,2.213997585,1046
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,clubno,4+ times,45.78669331,5.660821329,163
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,clubno,None,47.98413177,0.500272504,29376
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,depremp19,20% least deprived,49.24725109,1.082889571,4784
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,depremp19,20% most deprived,45.68720793,1.037992406,7359
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,depremp19,Deciles 3 - 8,47.42944143,0.618235209,16298
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,educatlvl,Apprenticeship or A/AS level,48.28518721,1.058618598,4730
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,educatlvl,Degree or diploma,47.85570952,0.651337694,14449
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,educatlvl,None,49.16677845,1.013514123,4938
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,educatlvl,O level/GCSE,46.08508964,1.01220748,4858
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,educatlvl,Other,48.70810575,1.994547499,1373
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,East Midlands,43.03454947,1.595106531,2902
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,East of England,50.1362193,1.289029295,3424
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,England,47.46183087,0.505508728,28441
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,London,51.16616959,1.564304808,3805
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,North East,43.69164993,2.377061791,1677
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,North West,50.22622685,1.11524524,4096
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,South East,47.68534685,1.369282169,3597
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,South West,47.0437027,1.417795503,2718
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,Wales,54.81844175,2.186354929,2161
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,West Midlands,45.50901444,1.65899089,3013
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,gor,Yorkshire and The Humber,42.40532267,1.341798482,3209
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,illONS,Disability/illness ONS,42.96754937,0.807271668,7086
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,incivgrp,High,47.28370431,1.852355413,1874
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,incivgrp,Low,47.89251979,0.502815639,28649
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Cohabiting,44.61645993,1.178931232,2725
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Divorced/Legally dissolved partnership,44.76633221,1.247021469,2728
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Living as a couple,47.61459483,0.555025909,16163
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Married/civil partnered,48.25199513,0.595190593,13438
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Not living as a couple,48.30570935,0.747291035,14235
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Separated,48.69350359,2.36492433,734
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Single,48.23730406,0.985067039,7901
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,livharm1a,Widowed,52.02034882,1.1746348,2872
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,nsethgrp,Asian/Asian British,55.18886499,1.542852393,2497
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,nsethgrp,Black/African/Caribbean/Black British,53.93953893,2.008125407,1412
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,nsethgrp,Mixed/multiple ethnic groups,49.03981185,3.261298572,475
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,nsethgrp,Other ethnic group,60.68906839,3.292808149,454
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,nsethgrp,White,46.25738801,0.497853288,25686
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Constrained city dwellers,46.65371233,1.471448214,2674
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Cosmopolitans,48.595392,2.256314397,1365
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Ethnicity central,51.39452295,1.93927731,2069
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Hard-pressed living,44.87237429,0.970184611,6359
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Multicultural metropolitans,49.25353107,1.354760352,4125
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Rural residents,49.3490832,1.196358916,3480
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Suburbanites,47.26243847,0.904799329,5385
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,oa_sup11,Urbanites,48.34282817,0.965427449,5145
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,pub3,Less than once a week,46.14765501,0.773568367,8779
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,pub3,None,49.70428309,0.609302731,17891
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,pub3,Once a week or more often,44.41539365,1.108410443,3909
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,r10sec4a,Full-time students,55.06013456,2.323721241,885
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,r10sec4a,Intermediate occs,46.12906306,0.822955764,6541
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,r10sec4a,Managerial and professional occs,46.68664902,0.677383775,11807
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,r10sec4a,Never worked and long term unemployed,52.43549493,2.182439349,1235
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,r10sec4a,Not classified,49.32880746,2.619756571,661
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,r10sec4a,Routine and manual occs,48.53279649,0.792150418,9473
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Economically inactive,49.17188339,0.654076534,12882
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Economically inactive: long-term/temp sick/ill,43.5954877,1.572793827,1744
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Economically inactive: looking after family/home,51.15465886,2.041976517,1062
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Economically inactive: other,46.16046141,3.261317723,462
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Economically inactive: retired,48.467161,0.690335225,9070
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Economically inactive: student,59.03082624,2.897765356,544
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Employed,47.21403008,0.594381284,17214
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,remploy2a,Unemployed,44.95475334,3.66770968,432
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,rural3,Rural,48.40967176,1.013906412,5816
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,rural3,Urban,47.72969366,0.560898336,24786
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,sex,Female,47.54843015,0.603804473,16109
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,sex,Male,48.17892908,0.650351417,14493
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,struct4,Children,50.15506542,0.872895058,5866
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,struct4,Lone parent,47.29064556,1.708486585,1332
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,struct4,No children,47.12198936,0.54568255,23404
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tenharm,Owners,46.17123766,0.558738386,19013
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tenharm,Private rented sector,52.43110154,1.065330952,5958
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tenharm,Renters,50.90877592,0.807717459,11274
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tenharm,Social rented sector,48.45811361,1.073005965,5316
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,Total,Total,47.85936005,0.493766812,30602
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,"10,400 -20,799",48.68002514,1.016894123,4897
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,"20,800 -31,199",50.00410567,0.997791794,4898
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,"31,200-41,599",47.11240524,1.1234418,3309
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,"41,600 -51,999",46.93974054,1.225061944,2904
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,"52,000 or more",45.73458931,0.843168418,6712
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,No income stated or not enough information provided,56.76305507,3.692422136,363
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,tothhin4,"Up to 10,399",50.05798075,1.922852843,1565
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,weekday2,3-7 hours,48.29946363,0.795449437,8597
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,weekday2,7 plus hrs,47.6035383,0.803923499,9406
2024,4,catt2,Person,Perception,England and Wales, ,All people,16+,weekday2,Less than 3 hrs,47.83224364,0.638655578,12463
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,accharm3,Detached house,53.36710257,3.02820197,383
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,accharm3,Flats/maisonettes,52.06865374,2.018352167,1249
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,accharm3,House,48.2638204,1.175820258,3064
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,accharm3,Other accommodation,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,accharm3,Semi-detached house,46.69402818,1.920828385,1098
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,accharm3,Terraced house,47.88010684,1.660146959,1583
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,agegrp7,25-34,49.22194096,1.038725494,4330
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,clubno,1-3 times,49.57109257,3.400822374,355
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,clubno,4+ times,37.66651814,10.76383703,40
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,clubno,None,49.30442533,1.076332394,3932
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,depremp19,20% least deprived,49.29485651,2.785674711,516
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,depremp19,20% most deprived,44.60363148,1.951430004,1211
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,depremp19,Deciles 3 - 8,50.09041896,1.317224708,2338
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,educatlvl,Apprenticeship or A/AS level,49.08523571,2.498714041,673
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,educatlvl,Degree or diploma,50.15440641,1.309985572,2660
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,educatlvl,None,43.93625757,3.920506512,314
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,educatlvl,O level/GCSE,43.55780544,2.728826883,519
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,educatlvl,Other,58.45805856,5.553010519,132
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,East Midlands,44.1605145,3.143277351,369
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,East of England,50.13139082,2.855269168,393
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,England,48.77437852,1.063285353,4065
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,London,53.27435457,2.46987534,793
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,North East,46.14979995,4.520345052,248
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,North West,48.57477901,2.668721027,622
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,South East,48.22183393,2.984930738,465
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,South West,48.94596315,3.829709646,293
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,Wales,59.08680944,5.028728816,265
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,West Midlands,46.55994421,3.076051495,443
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,gor,Yorkshire and The Humber,43.83883414,3.071650051,439
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,illONS,Disability/illness ONS,38.98510126,2.766612437,566
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,incivgrp,High,48.01544188,3.701291983,347
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,incivgrp,Low,49.36089009,1.077907533,3970
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Cohabiting,47.29834985,1.955423395,957
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Divorced/Legally dissolved partnership,46.52279876,8.58266139,47
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Living as a couple,52.00722378,1.318463853,2280
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Married/civil partnered,55.44337256,1.679168051,1323
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Not living as a couple,45.30560327,1.59599516,2025
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Separated,46.03696404,8.231455492,55
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Single,45.22526306,1.631193427,1918
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,livharm1a,Widowed,[x],[x],[x]
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,nsethgrp,Asian/Asian British,54.63656053,2.805997497,586
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,nsethgrp,Black/African/Caribbean/Black British,53.94272539,3.811678053,304
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,nsethgrp,Mixed/multiple ethnic groups,43.92898968,5.351187414,133
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,nsethgrp,Other ethnic group,59.6198918,6.211395928,110
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,nsethgrp,White,47.39398436,1.165653799,3183
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Constrained city dwellers,44.46623278,3.30637614,376
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Cosmopolitans,56.31750366,3.792291297,372
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Ethnicity central,50.9407099,3.106746464,507
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Hard-pressed living,46.90420655,2.140412401,947
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Multicultural metropolitans,47.01050982,2.343897326,756
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Rural residents,56.34035329,3.599352974,253
2024,4,catt2,Person,Perception,England and Wales, ,All people,25-34,oa_sup11,Suburbanites,49.31410782,2.991891318,440
